key,rank
vit_17s0000g06300,798
vit_09s0002g08540,799
vit_01s0011g02310,800
vit_00s0684g00010,801
vit_01s0026g01460,802
vit_16s0022g01620,803
vit_12s0057g00520,804
vit_04s0008g02250,805
vit_18s0117g00130,806
vit_12s0134g00350,807
vit_04s0008g01060,808
vit_12s0134g00260,809
vit_12s0142g00640,810
vit_04s0008g01880,811
vit_10s0003g00600,812
vit_07s0031g00220,813
vit_08s0007g08840,814
vit_09s0002g05370,815
vit_07s0151g00510,816
vit_11s0016g03950,817
vit_13s0019g01980,818
vit_00s0179g00230,819
vit_06s0004g03640,820
vit_15s0046g00290,821
vit_17s0000g00870,822
vit_10s0003g01550,823
vit_18s0001g01640,824
vit_02s0087g00640,825
vit_06s0004g03080,826
vit_00s0199g00060,827
vit_14s0066g02400,828
vit_02s0012g01040,829
vit_14s0006g01870,830
vit_13s0019g03660,831
vit_18s0001g11100,832
vit_07s0031g00480,833
vit_07s0005g02220,834
vit_09s0002g01180,835
vit_12s0028g01090,836
vit_06s0004g04380,837
vit_11s0016g02170,838
vit_16s0039g02040,839
vit_06s0009g01190,840
vit_05s0020g03330,841
vit_05s0049g00690,842
vit_06s0009g00230,843
vit_05s0077g00730,844
vit_14s0171g00280,845
vit_10s0003g04720,846
vit_03s0038g00430,847
vit_19s0085g00660,848
vit_12s0142g00580,849
vit_17s0000g00840,850
vit_06s0061g01050,851
vit_00s0225g00070,852
vit_19s0090g01840,853
vit_18s0001g09720,854
vit_19s0014g00210,855
vit_06s0004g08210,856
vit_09s0018g01700,857
vit_02s0025g04630,858
vit_03s0038g01090,859
vit_04s0008g06190,860
vit_01s0011g04620,861
vit_15s0046g01600,862
vit_16s0098g01740,863
vit_09s0002g02380,864
vit_12s0035g01430,865
vit_08s0032g00590,866
vit_07s0005g00450,867
vit_13s0106g00010,868
vit_12s0059g00750,869
vit_00s0203g00020,870
vit_08s0007g05530,871
vit_05s0062g01220,872
vit_11s0016g02150,873
vit_02s0154g00150,874
vit_13s0156g00060,875
vit_11s0016g04540,876
vit_07s0005g06160,877
vit_01s0011g02490,878
vit_04s0069g00130,879
vit_05s0136g00210,880
vit_18s0001g01060,881
vit_00s0179g00360,882
vit_00s0207g00010,883
vit_02s0012g00940,884
vit_07s0005g05960,885
vit_02s0025g00030,886
vit_02s0025g04150,887
vit_14s0060g02470,888
vit_05s0062g00890,889
vit_04s0008g02850,890
vit_04s0044g00880,891
vit_04s0023g00050,892
vit_13s0067g01390,893
vit_07s0104g01320,894
vit_15s0021g01150,895
vit_11s0016g05300,896
vit_18s0001g08090,897
vit_00s0317g00160,898
vit_14s0068g00520,899
vit_19s0027g01030,900
vit_08s0007g04960,901
vit_18s0001g12040,902
vit_15s0021g00540,903
vit_03s0017g01770,904
vit_02s0025g05130,905
vit_06s0080g00560,906
vit_13s0084g00240,907
vit_00s0558g00010,908
vit_08s0040g02950,909
vit_14s0068g00660,910
vit_14s0108g00820,911
vit_05s0062g00480<br>vit_05s0062g00610,912
vit_14s0006g00830,913
vit_18s0001g06330,914
vit_14s0108g01340,915
vit_14s0171g00360,916
vit_06s0009g02490,917
vit_07s0141g00520,918
vit_00s0199g00070,919
vit_13s0067g03300,920
vit_10s0042g01250,921
vit_04s0044g00710,922
vit_18s0041g00840,923
vit_03s0091g00680,924
vit_03s0017g00830,925
vit_05s0049g01450,926
vit_07s0141g00790,927
vit_13s0019g03760,928
vit_16s0022g02200,929
vit_13s0064g01840,930
vit_15s0024g01190,931
vit_18s0117g00220,932
vit_12s0057g01070,933
vit_05s0049g01780,934
vit_12s0059g00470,935
vit_01s0026g02520,936
vit_06s0004g03130,937
vit_07s0031g01410,938
vit_01s0011g01290,939
vit_00s0415g00060,940
vit_08s0040g01950,941
vit_11s0037g01400,942
vit_07s0031g02810,943
vit_07s0151g00590,944
vit_16s0022g00460,945
vit_01s0010g02200,946
vit_09s0096g00350,947
vit_09s0002g05730,948
vit_11s0016g01690,949
vit_14s0030g01620,950
vit_05s0049g00050,951
vit_06s0061g00550,952
vit_13s0084g00040,953
vit_08s0007g07400,954
vit_10s0003g05820,955
vit_14s0171g00520,956
vit_11s0016g05720,957
vit_02s0033g00770,958
vit_11s0065g00370,959
vit_00s0324g00070,960
vit_03s0038g04220,961
vit_12s0035g01250,962
vit_07s0129g00250,963
vit_00s0301g00040,964
vit_15s0021g00460,965
vit_17s0000g02880,966
vit_17s0000g06510,967
vit_10s0003g01430,968
vit_03s0063g00670,969
vit_00s0225g00230,970
vit_03s0038g04470,971
vit_02s0012g01290,972
vit_02s0025g01610,973
vit_08s0007g06510,974
vit_02s0012g02030,975
vit_17s0000g09980,976
vit_13s0019g03810,977
vit_05s0049g01770,978
vit_18s0001g08340,979
vit_02s0012g00760,980
vit_02s0025g03330,981
vit_10s0042g01020,982
vit_00s1008g00020,983
vit_12s0059g02510,984
vit_00s0374g00050<br>vit_00s2497g00010<br>vit_00s2364g00010,985
vit_11s0065g00100,986
vit_05s0077g00740,987
vit_09s0054g00430,988
vit_13s0067g03880,989
vit_08s0007g08020,990
vit_08s0007g07550,991
vit_05s0029g01350,992
vit_05s0062g00460,993
vit_12s0028g00170,994
vit_03s0091g00670,995
vit_19s0015g00770,996
vit_01s0010g00740,997
vit_17s0053g00590,998
vit_18s0001g05300,999
vit_06s0004g03940,1000
vit_05s0062g01140,1001
vit_15s0048g00370,1002
vit_10s0042g00080,1003
vit_18s0089g00140,1004
vit_17s0000g01280,1005
vit_18s0001g03270,1006
vit_14s0083g01140,1007
vit_04s0079g00650,1008
vit_16s0050g00390,1009
vit_09s0002g08660,1010
vit_06s0004g07010,1011
vit_01s0026g01960,1012
vit_05s0020g04380,1013
vit_04s0079g00290,1014
vit_09s0002g03190,1015
vit_08s0007g02170,1016
vit_06s0061g00170,1017
vit_00s0231g00070,1018
vit_08s0058g00650,1019.5
vit_15s0021g02290,1019.5
vit_07s0031g01300,1021
vit_04s0023g03650,1022.5
vit_04s0023g03710,1022.5
vit_13s0175g00150<br>vit_13s0019g00830,1024
vit_11s0065g00150,1026.5
vit_12s0035g02270,1026.5
vit_04s0044g01570,1026.5
vit_16s0013g01400,1026.5
vit_03s0038g02890,1029
vit_07s0191g00050,1030
vit_15s0021g02300,1031
vit_05s0094g01150,1032.5
vit_03s0063g01500,1032.5
vit_07s0104g00710,1034.5
vit_03s0038g03550,1034.5
vit_09s0002g01400,1036.5
vit_18s0122g00500,1036.5
vit_00s0179g00240,1038
