"key,""rank"""
vit_17s0053g00990,1012
vit_06s0004g06730,1013
vit_00s0253g00140,1014
vit_18s0001g00280,1015
vit_18s0001g01640,1016
vit_05s0020g02740,1017
vit_18s0041g00270,1018
vit_02s0025g00570,1019
vit_00s0125g00180,1020
vit_07s0005g00250,1021
vit_11s0037g00450,1022
vit_06s0009g01540,1023
vit_09s0002g06520,1024
vit_05s0049g01770,1025
vit_15s0048g01420,1026
vit_14s0030g00670,1027
vit_14s0030g02150,1028
vit_11s0037g00870,1029
vit_15s0046g01350,1030
vit_11s0103g00570,1031
vit_16s0022g00460,1032
